Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,31/10/2012,22-108,POR,,LAL,24:00:00,34:59:00,7,17,0.412,1,4,0.25,8,8,1,0,3,3,11,1,0,6,2,23,16.7,16
2,2,02/11/2012,22-110,POR,@,OKC,24:00:00,37:33:00,9,19,0.474,2,6,0.333,1,1,1,1,2,3,7,1,0,2,1,21,16.1,-9
3,3,03/11/2012,22-111,POR,@,HOU,24:00:00,42:18:00,8,15,0.533,3,6,0.5,1,2,0.5,1,5,6,9,0,0,3,0,20,17.8,10
4,4,05/11/2012,22-113,POR,@,DAL,24:00:00,32:47:00,2,13,0.154,1,8,0.125,8,8,1,1,2,3,5,1,0,1,2,13,8.7,-12
5,5,08/11/2012,22-116,POR,,LAC,24:00:00,41:21:00,6,13,0.462,2,4,0.5,2,4,0.5,1,1,2,4,3,0,3,2,16,11.5,-9
6,6,10/11/2012,22-118,POR,,SAS,24:00:00,37:49:00,8,16,0.5,4,8,0.5,0,1,0,1,2,3,6,2,0,4,3,20,13.9,1
7,7,12/11/2012,22-120,POR,,ATL,24:00:00,38:36:00,5,18,0.278,2,7,0.286,0,0,,1,2,3,2,2,1,4,3,12,1.6,-20
8,8,13/11/2012,22-121,POR,@,SAC,24:00:00,35:10:00,7,10,0.7,5,6,0.833,3,4,0.75,1,1,2,9,0,0,4,2,22,19.9,24
9,9,16/11/2012,22-124,POR,,HOU,24:00:00,42:15:00,9,18,0.5,3,9,0.333,6,6,1,0,5,5,5,2,0,4,2,27,20.2,10
10,10,18/11/2012,22-126,POR,,CHI,24:00:00,32:15:00,7,13,0.538,1,4,0.25,1,2,0.5,0,2,2,3,3,0,2,2,16,12.2,-5
11,11,21/11/2012,22-129,POR,@,PHO,24:00:00,35:13:00,7,13,0.538,2,4,0.5,8,9,0.889,0,0,0,3,1,0,6,1,24,14,-16
12,12,23/11/2012,22-131,POR,,MIN,24:00:00,37:07:00,11,17,0.647,4,8,0.5,2,4,0.5,0,4,4,8,0,1,0,0,28,27.2,10
13,13,25/11/2012,22-133,POR,@,BRK,24:00:00,31:09:00,4,12,0.333,3,5,0.6,2,2,1,1,5,6,7,2,2,4,4,13,11.1,-12
