Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,28/10/2015,20-326,MIL,,NYK,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
2,1,30/10/2015,20-328,MIL,,WAS,1,34:09:00,9,15,0.6,1,3,0.333,8,10,0.8,3,6,9,2,3,0,6,6,27,19.2,-10
3,2,01/11/2015,20-330,MIL,@,TOR,1,32:41:00,8,12,0.667,1,1,1,3,3,1,0,9,9,2,0,1,0,1,20,19.2,-7
4,3,02/11/2015,20-331,MIL,@,BRK,1,42:12:00,8,16,0.5,1,3,0.333,4,5,0.8,3,5,8,3,0,2,4,4,21,14.1,2
5,4,04/11/2015,20-333,MIL,,PHI,1,40:32:00,7,11,0.636,1,1,1,2,3,0.667,0,5,5,3,1,1,3,2,17,13.2,0
6,5,06/11/2015,20-335,MIL,@,NYK,1,35:39:00,7,13,0.538,0,0,,6,6,1,1,6,7,1,2,1,1,4,20,17,7
7,6,07/11/2015,20-336,MIL,,BRK,1,37:02:00,4,8,0.5,1,3,0.333,2,2,1,1,5,6,2,1,0,2,4,11,8,11
8,7,10/11/2015,20-339,MIL,,BOS,1,24:07:00,6,13,0.462,1,3,0.333,3,3,1,0,3,3,0,2,0,4,5,16,6.2,-4
9,8,11/11/2015,20-340,MIL,@,DEN,1,29:08:00,6,12,0.5,0,3,0,0,0,,1,6,7,5,0,2,3,5,12,8.4,-26
10,9,14/11/2015,20-343,MIL,,CLE,1,44:31:00,6,18,0.333,0,2,0,4,5,0.8,4,7,11,1,0,3,2,6,16,8.7,1
11,10,17/11/2015,20-346,MIL,@,WAS,1,34:59:00,3,13,0.231,0,0,,3,6,0.5,1,4,5,7,1,1,4,4,9,2.8,-17
12,11,19/11/2015,20-348,MIL,@,CLE,1,39:45:00,12,15,0.8,1,2,0.5,8,8,1,2,3,5,2,2,0,0,3,33,31.8,-14
13,12,21/11/2015,20-350,MIL,@,IND,1,29:06:00,3,8,0.375,0,0,,3,4,0.75,0,5,5,2,2,2,3,3,9,6.3,-26
14,13,23/11/2015,20-352,MIL,,DET,1,26:48:00,6,10,0.6,1,1,1,4,4,1,2,4,6,4,0,1,2,3,17,15.3,10
15,14,25/11/2015,20-354,MIL,,SAC,1,30:19:00,7,13,0.538,1,3,0.333,6,7,0.857,2,3,5,2,0,2,0,6,21,17,-2
16,15,27/11/2015,20-356,MIL,@,ORL,1,31:36:00,7,10,0.7,0,1,0,3,3,1,0,4,4,4,2,0,3,4,17,14.2,-18
17,16,29/11/2015,20-358,MIL,@,CHO,1,30:58:00,4,5,0.8,0,0,,0,0,,0,5,5,3,1,1,0,2,8,10.6,7
18,17,30/11/2015,20-359,MIL,,DEN,1,19:51,3,10,0.3,0,2,0,3,4,0.75,2,4,6,0,0,1,2,3,9,2.9,4
19,18,02/12/2015,20-361,MIL,@,SAS,1,25:40:00,2,8,0.25,0,1,0,3,4,0.75,1,3,4,2,0,2,2,2,7,3.4,-13
20,19,04/12/2015,20-363,MIL,@,DET,1,33:40:00,5,11,0.455,0,0,,2,2,1,1,8,9,2,0,1,4,5,12,5.5,-10
21,20,05/12/2015,20-364,MIL,,NYK,1,34:40:00,6,15,0.4,0,1,0,5,6,0.833,1,5,6,6,1,2,2,3,17,14.1,18
22,21,07/12/2015,21-001,MIL,,POR,1,30:39:00,5,10,0.5,0,0,,7,8,0.875,3,6,9,1,1,2,3,1,17,15.2,6
23,22,09/12/2015,21-003,MIL,,LAC,1,28:23:00,5,11,0.455,0,2,0,5,6,0.833,0,6,6,1,0,1,1,5,15,9.1,-19
24,23,11/12/2015,21-005,MIL,@,TOR,1,42:49:00,7,12,0.583,0,1,0,1,2,0.5,2,5,7,3,2,1,4,3,15,11.5,-5
25,24,12/12/2015,21-006,MIL,,GSW,1,42:58:00,4,10,0.4,1,2,0.5,2,3,0.667,0,12,12,8,1,2,4,2,11,12,3
26,25,15/12/2015,21-009,MIL,@,LAL,1,35:28:00,6,11,0.545,0,1,0,3,4,0.75,0,6,6,5,0,0,1,2,15,12.8,-19
27,26,16/12/2015,21-010,MIL,@,LAC,0,33:52:00,4,12,0.333,1,1,1,0,0,,2,9,11,2,0,0,3,4,9,3.1,-9
28,27,18/12/2015,21-012,MIL,@,GSW,1,36:21:00,9,17,0.529,0,0,,2,3,0.667,3,3,6,4,0,1,3,6,20,12.4,-11
29,,20/12/2015,21-014,MIL,@,PHO,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,28,23/12/2015,21-017,MIL,,PHI,1,33:23:00,11,13,0.846,0,0,,0,0,,1,4,5,6,2,2,2,3,22,23.6,16
31,29,26/12/2015,21-020,MIL,,TOR,1,34:48:00,2,5,0.4,0,2,0,0,0,,0,2,2,2,0,0,1,2,4,1.5,-20
32,30,28/12/2015,21-022,MIL,@,DAL,1,28:08:00,4,10,0.4,0,1,0,3,4,0.75,1,8,9,1,1,1,2,5,11,6.7,-22
33,31,29/12/2015,21-023,MIL,@,OKC,1,40:07:00,11,19,0.579,0,0,,5,7,0.714,6,4,10,2,0,0,3,6,27,18.7,-14
34,32,31/12/2015,21-025,MIL,@,IND,1,37:20:00,4,11,0.364,0,2,0,6,10,0.6,0,6,6,0,3,4,2,2,14,11.1,-5
35,33,02/01/2016,21-027,MIL,@,MIN,1,30:18:00,3,9,0.333,1,2,0.5,4,4,1,1,8,9,2,2,0,4,3,11,7.2,19
36,34,04/01/2016,21-029,MIL,,SAS,1,29:35:00,5,9,0.556,0,2,0,1,2,0.5,2,2,4,2,1,1,2,2,11,8.6,-6
37,35,05/01/2016,21-030,MIL,@,CHI,1,36:18:00,8,17,0.471,0,2,0,2,5,0.4,2,5,7,2,4,1,0,3,18,15.9,-1
38,36,08/01/2016,21-033,MIL,,DAL,1,32:56:00,2,8,0.25,0,0,,1,4,0.25,1,4,5,1,1,1,3,5,5,-1.7,-1
