Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,31/10/2012,23-066,HOU,@,DET,24:00:00,44:04:00,14,25,0.56,4,10,0.4,5,6,0.833,1,5,6,12,4,1,4,2,37,35.2,18
2,2,02/11/2012,23-068,HOU,@,ATL,24:00:00,39:49:00,14,19,0.737,2,4,0.5,15,17,0.882,1,6,7,2,0,0,5,3,45,34.2,17
3,3,03/11/2012,23-069,HOU,,POR,24:00:00,40:43:00,8,24,0.333,1,6,0.167,7,10,0.7,2,4,6,5,1,1,5,3,24,10.8,-16
4,4,07/11/2012,23-073,HOU,,DEN,24:00:00,38:20:00,5,15,0.333,0,5,0,5,7,0.714,1,2,3,2,5,0,6,1,15,7,-6
5,5,09/11/2012,23-075,HOU,@,MEM,24:00:00,40:38:00,4,18,0.222,1,6,0.167,9,10,0.9,2,2,4,4,0,2,5,1,18,7.4,-2
6,6,10/11/2012,23-076,HOU,,DET,24:00:00,35:16:00,6,14,0.429,2,6,0.333,6,7,0.857,0,5,5,2,0,0,5,0,20,10.1,11
7,7,12/11/2012,23-078,HOU,,MIA,24:00:00,39:50:00,6,17,0.353,1,6,0.167,9,11,0.818,0,3,3,5,1,1,2,4,22,14.2,-9
8,8,14/11/2012,23-080,HOU,,NOH,24:00:00,39:19:00,10,20,0.5,1,7,0.143,9,11,0.818,0,3,3,4,0,1,1,2,30,21.8,-2
9,9,16/11/2012,23-082,HOU,@,POR,24:00:00,43:26:00,8,18,0.444,2,4,0.5,11,12,0.917,2,4,6,6,3,0,4,4,29,23.4,0
10,10,18/11/2012,23-084,HOU,@,LAL,24:00:00,38:19:00,7,18,0.389,3,7,0.429,3,5,0.6,0,2,2,7,1,0,5,2,20,10.1,-10
11,11,19/11/2012,23-085,HOU,@,UTA,24:00:00,17:29,1,6,0.167,1,2,0.5,3,3,1,0,2,2,3,0,1,2,2,6,2.8,-13
12,12,21/11/2012,23-087,HOU,,CHI,24:00:00,42:25:00,8,14,0.571,3,7,0.429,9,13,0.692,1,3,4,3,5,0,6,3,28,21.3,6
13,13,23/11/2012,23-089,HOU,,NYK,24:00:00,39:25:00,7,15,0.467,3,5,0.6,16,16,1,0,4,4,9,1,1,3,3,33,30.3,27
