Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,19/10/2017,19-357,LAL,,LAC,1,29:21:00,1,6,0.167,1,3,0.333,0,2,0,0,9,9,4,1,1,2,1,3,3.2,-14
2,2,20/10/2017,19-358,LAL,@,PHO,1,37:27:00,12,27,0.444,4,9,0.444,1,2,0.5,2,9,11,9,1,0,4,4,29,20.3,1
3,3,22/10/2017,19-360,LAL,,NOP,1,36:24:00,3,13,0.231,0,5,0,2,2,1,1,7,8,13,1,0,5,1,8,7.6,-24
4,4,25/10/2017,19-363,LAL,,WAS,1,39:38:00,2,11,0.182,0,5,0,2,3,0.667,1,7,8,10,1,1,1,3,6,8,13
5,5,27/10/2017,20-000,LAL,,TOR,1,31:30:00,2,7,0.286,1,4,0.25,0,0,,1,6,7,6,2,0,4,0,5,5.6,-15
6,6,28/10/2017,20-001,LAL,@,UTA,1,35:47:00,3,10,0.3,3,6,0.5,0,0,,1,1,2,4,2,0,5,2,9,3.2,-19
7,7,31/10/2017,20-004,LAL,,DET,1,27:46:00,6,13,0.462,1,3,0.333,0,0,,2,4,6,3,0,2,0,0,13,12.4,8
8,8,02/11/2017,20-006,LAL,@,POR,1,28:07:00,0,2,0,0,1,0,0,0,,0,3,3,4,1,2,1,1,0,3.3,10
9,9,03/11/2017,20-007,LAL,,BRK,1,28:37:00,3,15,0.2,0,3,0,0,1,0,1,4,5,7,2,0,0,4,6,3.5,22
10,10,05/11/2017,20-009,LAL,,MEM,1,35:09:00,3,13,0.231,1,8,0.125,2,3,0.667,2,3,5,9,0,0,2,2,9,6.5,10
11,11,08/11/2017,20-012,LAL,@,BOS,1,38:34:00,4,15,0.267,1,5,0.2,0,0,,1,4,5,6,1,4,2,1,9,7.6,-5
12,12,09/11/2017,20-013,LAL,@,WAS,1,28:30:00,3,12,0.25,1,7,0.143,3,7,0.429,3,5,8,8,2,0,4,1,10,8,-18
13,13,11/11/2017,20-015,LAL,@,MIL,1,38:48:00,7,12,0.583,3,5,0.6,2,4,0.5,0,12,12,13,3,3,4,3,19,25.2,10
14,14,13/11/2017,20-017,LAL,@,PHO,1,28:05:00,3,10,0.3,1,4,0.25,0,0,,2,3,5,5,2,0,4,2,7,4.2,-11
15,15,15/11/2017,20-019,LAL,,PHI,1,21:25,1,9,0.111,0,6,0,0,0,,3,2,5,2,1,0,2,3,2,-2,-18
16,16,17/11/2017,20-021,LAL,,PHO,1,37:42:00,3,7,0.429,0,1,0,0,2,0,0,6,6,6,5,2,3,2,6,10.1,-2
17,17,19/11/2017,20-023,LAL,,DEN,1,39:54:00,5,13,0.385,1,4,0.25,0,0,,3,13,16,11,0,2,2,4,11,15.4,29
18,18,21/11/2017,20-025,LAL,,CHI,1,32:00:00,3,13,0.231,2,8,0.25,0,0,,3,10,13,4,1,0,1,3,8,6.8,14
19,19,22/11/2017,20-026,LAL,@,SAC,1,37:16:00,4,8,0.5,3,5,0.6,0,2,0,0,7,7,11,1,0,4,2,11,12.2,-1
20,20,27/11/2017,20-031,LAL,@,LAC,1,26:17:00,1,7,0.143,1,6,0.167,0,0,,2,3,5,7,1,0,3,4,3,2.1,-12
21,21,29/11/2017,20-033,LAL,,GSW,1,43:20:00,5,12,0.417,3,7,0.429,2,2,1,1,1,2,10,1,0,2,2,15,14.8,-8
22,22,02/12/2017,20-036,LAL,@,DEN,1,33:22:00,4,10,0.4,1,4,0.25,0,0,,4,5,9,5,2,0,5,3,9,7.2,-15
23,23,03/12/2017,20-037,LAL,,HOU,1,22:02,0,4,0,0,3,0,2,2,1,0,1,1,3,0,2,3,1,2,-0.4,-9
24,24,07/12/2017,20-041,LAL,@,PHI,1,38:22:00,5,11,0.455,0,3,0,0,0,,2,6,8,8,3,4,0,0,10,18.9,7
25,25,09/12/2017,20-043,LAL,@,CHO,1,26:31:00,2,5,0.4,1,3,0.333,0,2,0,0,5,5,9,0,1,2,4,5,6.4,-6
26,26,12/12/2017,20-046,LAL,@,NYK,1,39:31:00,6,13,0.462,3,6,0.5,2,3,0.667,1,7,8,6,2,1,1,3,17,17.4,-11
27,27,14/12/2017,20-048,LAL,@,CLE,1,37:53:00,5,11,0.455,3,8,0.375,0,0,,1,7,8,11,2,0,6,3,13,12.6,-11
28,28,18/12/2017,20-052,LAL,,GSW,1,38:38:00,6,12,0.5,3,6,0.5,1,2,0.5,0,6,6,6,1,2,2,4,16,14.4,10
29,29,20/12/2017,20-054,LAL,@,HOU,1,38:02:00,5,14,0.357,2,8,0.25,4,7,0.571,0,9,9,4,1,2,5,2,16,9.1,6
30,30,22/12/2017,20-056,LAL,@,GSW,1,37:01:00,9,16,0.563,5,6,0.833,1,4,0.25,2,3,5,5,0,1,5,2,24,15.9,-13
31,31,23/12/2017,20-057,LAL,,POR,1,36:30:00,4,13,0.308,2,6,0.333,0,0,,0,8,8,11,2,1,5,2,10,9.5,8
32,,25/12/2017,20-059,LAL,,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,27/12/2017,20-061,LAL,,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,29/12/2017,20-063,LAL,,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,31/12/2017,20-065,LAL,@,HOU,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,01/01/2018,20-066,LAL,@,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,03/01/2018,20-068,LAL,,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,32,05/01/2018,20-070,LAL,,CHO,1,27:11:00,4,8,0.5,3,7,0.429,0,0,,0,4,4,5,2,0,1,2,11,11.9,-24
39,33,07/01/2018,20-072,LAL,,ATL,1,29:42:00,5,13,0.385,3,9,0.333,0,0,,2,8,10,6,1,0,2,4,13,11.3,11
40,34,09/01/2018,20-074,LAL,,SAC,1,36:42:00,2,10,0.2,1,7,0.143,0,0,,2,9,11,11,5,1,1,1,5,14.9,33
41,35,11/01/2018,20-076,LAL,,SAS,1,35:56:00,7,11,0.636,4,7,0.571,0,0,,4,6,10,6,4,0,5,1,18,20.5,17
42,36,13/01/2018,20-078,LAL,@,DAL,1,43:05:00,4,13,0.308,1,7,0.143,0,0,,1,6,7,7,1,0,0,1,9,9.5,7
43,,15/01/2018,20-080,LAL,@,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,17/01/2018,20-082,LAL,@,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,19/01/2018,20-084,LAL,,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,21/01/2018,20-086,LAL,,NYK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,23/01/2018,20-088,LAL,,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,26/01/2018,20-091,LAL,@,CHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,28/01/2018,20-093,LAL,@,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,31/01/2018,20-096,LAL,@,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,02/02/2018,20-098,LAL,@,BRK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,04/02/2018,20-100,LAL,@,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,06/02/2018,20-102,LAL,,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,08/02/2018,20-104,LAL,,OKC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,10/02/2018,20-106,LAL,@,DAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,14/02/2018,20-110,LAL,@,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,15/02/2018,20-111,LAL,@,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
