Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,29/10/2014,26-025,CHI,,NYK,1,21:21,3,7,0.429,0,3,0,7,8,0.875,0,3,3,5,2,0,3,2,13,11.5,4
2,2,31/10/2014,26-027,CHI,,CLE,1,25:18:00,8,16,0.5,2,6,0.333,2,3,0.667,3,1,4,4,0,0,2,1,20,14.4,8
3,,01/11/2014,26-028,CHI,,MIN,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,04/11/2014,26-031,CHI,,ORL,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3,05/11/2014,26-032,CHI,,MIL,1,31:12:00,4,10,0.4,2,5,0.4,3,4,0.75,0,2,2,7,2,0,4,2,13,9.9,19
6,,07/11/2014,26-034,CHI,,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,08/11/2014,26-035,CHI,,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,4,10/11/2014,26-037,CHI,,DET,1,32:06:00,9,20,0.45,2,5,0.4,4,5,0.8,0,2,2,7,1,0,3,2,24,15.9,14
9,5,13/11/2014,26-040,CHI,,TOR,1,29:51:00,5,14,0.357,1,5,0.2,9,10,0.9,2,1,3,4,0,0,5,0,20,11.3,1
10,,15/11/2014,26-042,CHI,,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,17/11/2014,26-044,CHI,,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,20/11/2014,26-047,CHI,,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,21/11/2014,26-048,CHI,,POR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,6,24/11/2014,26-051,CHI,,UTA,1,24:37:00,5,10,0.5,3,5,0.6,5,8,0.625,0,3,3,5,1,0,4,0,18,13.2,5
15,7,25/11/2014,26-052,CHI,,DEN,1,09:52,1,4,0.25,0,3,0,0,0,,0,0,0,3,0,0,1,1,2,0.3,-8
16,8,28/11/2014,26-055,CHI,,BOS,1,27:44:00,9,18,0.5,2,6,0.333,1,2,0.5,1,3,4,4,0,1,1,2,21,14.9,11
17,9,30/11/2014,26-057,CHI,,BRK,1,25:56:00,5,12,0.417,2,7,0.286,2,3,0.667,1,5,6,2,0,0,4,1,14,6.4,14
18,10,02/12/2014,26-059,CHI,,DAL,1,36:33:00,6,20,0.3,4,11,0.364,2,4,0.5,1,4,5,10,0,0,7,2,18,6.7,-1
19,11,03/12/2014,26-060,CHI,,CHO,1,27:48:00,5,12,0.417,2,7,0.286,3,3,1,0,2,2,5,0,0,2,2,15,9.9,0
20,12,06/12/2014,26-063,CHI,,GSW,1,31:11:00,2,11,0.182,1,7,0.143,4,4,1,1,3,4,6,0,0,2,2,9,5.1,-19
21,13,10/12/2014,26-067,CHI,,BRK,1,23:50,8,15,0.533,3,7,0.429,4,5,0.8,0,4,4,4,0,0,5,4,23,12.7,20
22,14,12/12/2014,26-069,CHI,,POR,1,31:34:00,14,24,0.583,0,2,0,3,3,1,0,3,3,5,1,0,2,2,31,22.4,-5
23,15,14/12/2014,26-071,CHI,,MIA,1,27:10:00,6,14,0.429,1,3,0.333,1,2,0.5,0,2,2,3,1,0,1,3,14,7.7,15
