Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,30/10/2012,30-287,MIA,,BOS,1,35:07:00,10,22,0.455,0,0,,9,11,0.818,2,1,3,4,2,1,4,3,29,18.8,-6
2,2,02/11/2012,30-290,MIA,@,NYK,1,34:47:00,7,10,0.7,0,0,,1,1,1,0,5,5,4,0,0,4,2,15,10.3,-16
3,3,03/11/2012,30-291,MIA,,DEN,1,33:48:00,5,12,0.417,0,1,0,4,6,0.667,1,2,3,4,2,4,1,1,14,14.3,7
4,4,05/11/2012,30-293,MIA,,PHO,1,28:21:00,9,14,0.643,1,1,1,3,3,1,0,3,3,6,2,0,2,3,22,19.7,23
5,5,07/11/2012,30-295,MIA,,BRK,1,32:04:00,10,14,0.714,0,1,0,2,2,1,1,1,2,5,1,2,1,2,22,21.3,24
6,,09/11/2012,30-297,MIA,@,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6,11/11/2012,30-299,MIA,@,MEM,1,33:21:00,3,15,0.2,0,1,0,2,2,1,4,4,8,3,1,0,1,0,8,4.8,-21
8,7,12/11/2012,30-300,MIA,@,HOU,1,39:49:00,8,18,0.444,0,1,0,3,7,0.429,1,5,6,7,1,0,2,2,19,13.3,13
9,8,14/11/2012,30-302,MIA,@,LAC,1,29:07:00,2,10,0.2,0,1,0,2,2,1,1,2,3,6,1,0,5,1,6,0.9,-15
10,,15/11/2012,30-303,MIA,@,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,17/11/2012,30-305,MIA,@,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,9,21/11/2012,30-309,MIA,,MIL,1,37:46:00,11,21,0.524,0,0,,6,8,0.75,1,2,3,4,2,0,2,0,28,21,6
13,10,24/11/2012,30-312,MIA,,CLE,1,34:15:00,6,15,0.4,0,0,,6,10,0.6,1,6,7,4,1,2,4,5,18,10,9
14,11,29/11/2012,30-317,MIA,,SAS,1,32:21:00,7,17,0.412,0,0,,5,5,1,0,5,5,5,1,0,1,1,19,14.5,14
15,12,01/12/2012,30-319,MIA,,BRK,1,34:13:00,14,20,0.7,1,3,0.333,5,6,0.833,1,0,1,7,1,0,0,1,34,31.4,12
16,13,04/12/2012,30-322,MIA,@,WAS,1,34:14:00,9,19,0.474,0,1,0,6,7,0.857,1,1,2,3,2,0,1,3,24,16.8,-6
17,14,06/12/2012,30-324,MIA,,NYK,1,31:43:00,3,13,0.231,1,2,0.5,6,6,1,0,3,3,1,0,0,4,1,13,2.3,-33
18,15,08/12/2012,30-326,MIA,,NOH,1,32:23:00,9,12,0.75,0,0,,8,9,0.889,0,2,2,3,1,0,2,1,26,22.1,7
19,16,10/12/2012,30-328,MIA,,ATL,1,34:24:00,11,13,0.846,1,1,1,3,6,0.5,0,4,4,3,0,0,4,4,26,17.8,4
20,17,12/12/2012,30-330,MIA,,GSW,1,29:11:00,5,11,0.455,0,0,,4,5,0.8,0,4,4,5,3,0,5,2,14,9.8,-7
21,18,15/12/2012,30-333,MIA,,WAS,1,26:29:00,5,8,0.625,0,0,,3,4,0.75,0,3,3,6,2,0,1,2,13,14.3,28
22,19,18/12/2012,30-336,MIA,,MIN,1,27:11:00,8,14,0.571,0,0,,8,11,0.727,2,1,3,4,2,2,1,2,24,22.3,16
23,20,20/12/2012,30-338,MIA,@,DAL,1,26:14:00,7,13,0.538,1,3,0.333,4,4,1,2,3,5,6,0,1,3,1,19,16.5,40
24,21,22/12/2012,30-340,MIA,,UTA,1,34:17:00,8,14,0.571,0,2,0,5,6,0.833,1,6,7,7,2,0,4,2,21,18.6,15
25,22,25/12/2012,30-343,MIA,,OKC,1,38:22:00,8,17,0.471,1,3,0.333,4,4,1,2,3,5,3,0,0,5,3,21,10.5,10
26,23,26/12/2012,30-344,MIA,@,CHA,1,36:38:00,10,19,0.526,1,1,1,8,10,0.8,2,7,9,5,1,1,3,3,29,23.4,19
27,,28/12/2012,30-346,MIA,@,DET,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
28,24,29/12/2012,30-347,MIA,@,MIL,1,34:49:00,10,19,0.526,0,0,,4,7,0.571,1,5,6,4,0,0,3,1,24,15.1,-13
29,25,31/12/2012,30-349,MIA,@,ORL,1,39:52:00,9,20,0.45,0,2,0,3,10,0.3,2,4,6,3,2,1,3,1,21,11.8,-14
30,26,02/01/2013,30-351,MIA,,DAL,1,44:36:00,9,21,0.429,1,3,0.333,8,9,0.889,2,8,10,5,2,2,1,0,27,25.2,12
31,27,04/01/2013,30-353,MIA,,CHI,1,32:52:00,7,11,0.636,1,1,1,7,9,0.778,0,3,3,4,2,0,3,3,22,17.8,-3
32,28,06/01/2013,30-355,MIA,,WAS,1,29:13:00,7,14,0.5,0,1,0,0,1,0,1,6,7,1,1,1,2,2,14,8.7,23
33,29,08/01/2013,30-357,MIA,@,IND,1,35:45:00,9,16,0.563,4,6,0.667,8,10,0.8,1,4,5,3,0,1,2,3,30,23.1,7
34,30,10/01/2013,30-359,MIA,@,POR,1,35:21:00,6,18,0.333,0,0,,6,6,1,0,3,3,2,2,0,1,3,18,9.9,-13
35,31,12/01/2013,30-361,MIA,@,SAC,1,25:04:00,3,5,0.6,0,1,0,5,6,0.833,1,4,5,7,2,4,2,2,11,17.1,33
36,32,14/01/2013,30-363,MIA,@,UTA,1,29:18:00,5,11,0.455,1,2,0.5,0,3,0,1,4,5,4,1,0,2,2,11,7,-6
37,33,16/01/2013,30-365,MIA,@,GSW,1,29:36:00,6,12,0.5,0,1,0,3,5,0.6,2,6,8,6,5,1,0,1,15,20.9,32
38,34,17/01/2013,31-000,MIA,@,LAL,1,37:49:00,11,20,0.55,0,1,0,5,7,0.714,0,4,4,5,2,1,1,3,27,21.8,1
39,35,23/01/2013,31-006,MIA,,TOR,1,40:00:00,13,19,0.684,0,1,0,9,15,0.6,2,3,5,7,0,1,3,4,35,27.8,10
40,36,25/01/2013,31-008,MIA,,DET,1,34:30:00,12,20,0.6,0,1,0,5,5,1,1,4,5,7,3,1,5,1,29,24.9,24
41,37,27/01/2013,31-010,MIA,@,BOS,1,46:33:00,6,20,0.3,0,4,0,5,6,0.833,2,2,4,7,2,1,6,5,17,6.6,-9
42,38,30/01/2013,31-013,MIA,@,BRK,1,33:43:00,9,16,0.563,1,1,1,2,4,0.5,0,2,2,3,1,0,3,3,21,12.1,12
43,39,01/02/2013,31-015,MIA,@,IND,1,41:15:00,7,16,0.438,0,0,,3,6,0.5,2,4,6,5,2,2,1,2,17,15.1,-6
44,40,03/02/2013,31-017,MIA,@,TOR,1,31:56:00,10,18,0.556,0,1,0,3,4,0.75,0,5,5,5,3,1,3,3,23,18.5,21
45,41,04/02/2013,31-018,MIA,,CHA,1,37:57:00,7,19,0.368,0,1,0,6,10,0.6,6,6,12,4,1,2,5,3,20,12.9,4
46,42,06/02/2013,31-020,MIA,,HOU,1,35:28:00,9,18,0.5,0,1,0,13,13,1,1,4,5,8,4,2,2,2,31,32.1,13
47,43,08/02/2013,31-022,MIA,,LAC,1,31:23:00,8,16,0.5,0,2,0,4,6,0.667,2,4,6,7,4,0,2,2,20,19.9,29
48,44,10/02/2013,31-024,MIA,,LAL,1,38:54:00,12,18,0.667,0,1,0,6,6,1,0,2,2,5,3,1,4,4,30,24.4,7
49,45,12/02/2013,31-026,MIA,,POR,1,35:36:00,8,18,0.444,0,0,,8,10,0.8,5,4,9,7,1,2,4,2,24,21,19
50,46,14/02/2013,31-028,MIA,@,OKC,1,30:58:00,5,13,0.385,0,0,,3,3,1,0,5,5,8,3,1,4,6,13,10.3,9
51,47,20/02/2013,31-034,MIA,@,ATL,1,34:34:00,8,18,0.444,0,0,,4,8,0.5,1,2,3,2,3,0,4,0,20,10.7,5
52,48,21/02/2013,31-035,MIA,@,CHI,1,36:45:00,8,15,0.533,0,0,,1,2,0.5,2,6,8,5,2,2,5,0,17,14.4,23
53,49,23/02/2013,31-037,MIA,@,PHI,1,32:26:00,14,18,0.778,0,1,0,5,7,0.714,1,5,6,2,2,0,1,3,33,28.6,24
54,50,24/02/2013,31-038,MIA,,CLE,1,38:25:00,11,22,0.5,0,0,,2,3,0.667,0,5,5,6,1,2,1,3,24,18.5,-6
55,51,26/02/2013,31-040,MIA,,SAC,1,45:28:00,19,28,0.679,1,2,0.5,0,2,0,2,6,8,7,3,2,4,1,39,34.3,5
56,52,01/03/2013,31-043,MIA,,MEM,1,35:42:00,9,16,0.563,0,1,0,4,6,0.667,2,2,4,8,2,1,2,2,22,21.1,14
57,53,03/03/2013,31-045,MIA,@,NYK,1,36:56:00,8,16,0.5,0,1,0,4,5,0.8,2,6,8,8,1,0,4,0,20,17.4,8
