Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,01/11/2012,23-355,OKC,@,SAS,00:00,37:27:00,6,21,0.286,0,3,0,6,8,0.75,3,5,8,5,0,0,6,3,18,4.8,2
2,2,02/11/2012,23-356,OKC,,POR,24:00:00,35:17:00,13,24,0.542,0,2,0,6,8,0.75,1,4,5,6,0,0,1,1,32,24.3,6
3,3,04/11/2012,23-358,OKC,,ATL,1,36:09:00,5,18,0.278,2,6,0.333,2,2,1,1,4,5,9,0,0,3,4,14,7,-5
4,4,06/11/2012,23-360,OKC,,TOR,1,28:48:00,5,12,0.417,2,4,0.5,7,8,0.875,0,1,1,8,1,1,1,2,19,18,21
5,5,08/11/2012,23-362,OKC,@,CHI,24:00:00,35:34:00,7,22,0.318,1,7,0.143,1,1,1,1,1,2,12,1,0,2,4,16,10.2,-4
6,6,09/11/2012,23-363,OKC,,DET,1,30:57:00,3,10,0.3,1,2,0.5,3,4,0.75,2,2,4,6,1,0,3,2,10,7.2,-4
7,7,11/11/2012,23-365,OKC,,CLE,1,39:36:00,10,16,0.625,4,6,0.667,3,4,0.75,1,5,6,10,4,0,8,5,27,22.6,11
8,8,12/11/2012,24-000,OKC,@,DET,24:00:00,43:47:00,11,25,0.44,0,3,0,11,15,0.733,4,6,10,4,3,0,2,1,33,26.3,9
9,9,14/11/2012,24-002,OKC,,MEM,24:00:00,42:31:00,6,19,0.316,2,6,0.333,3,5,0.6,2,4,6,13,2,0,2,3,17,15.8,-7
10,10,16/11/2012,24-004,OKC,@,NOH,1,28:02:00,3,11,0.273,0,4,0,4,6,0.667,1,1,2,12,1,0,2,4,10,9.5,18
11,11,18/11/2012,24-006,OKC,,GSW,1,36:13:00,12,22,0.545,2,2,1,4,5,0.8,1,1,2,7,5,0,1,0,30,28.9,20
12,12,21/11/2012,24-009,OKC,,LAC,1,42:11:00,8,20,0.4,3,5,0.6,4,6,0.667,1,2,3,9,0,0,3,3,23,14.8,8
13,13,23/11/2012,24-011,OKC,@,BOS,1,38:07:00,10,21,0.476,2,7,0.286,4,4,1,0,7,7,8,2,1,5,4,26,19.1,7
14,14,24/11/2012,24-012,OKC,@,PHI,24:00:00,41:51:00,11,23,0.478,2,5,0.4,6,6,1,1,4,5,9,2,1,3,2,30,25.4,8
15,15,26/11/2012,24-014,OKC,,CHA,00:00,21:44,4,8,0.5,0,2,0,4,4,1,0,2,2,11,2,0,2,2,12,15.5,41
16,16,28/11/2012,24-016,OKC,,HOU,24:00:00,36:11:00,6,15,0.4,0,3,0,2,5,0.4,1,4,5,9,3,1,5,2,14,10.8,7
17,17,30/11/2012,24-018,OKC,,UTA,24:00:00,39:06:00,6,18,0.333,3,5,0.6,8,10,0.8,3,10,13,8,7,0,8,3,23,20.5,27
18,18,01/12/2012,24-019,OKC,@,NOH,24:00:00,30:04:00,8,18,0.444,2,3,0.667,0,0,,2,3,5,10,3,1,5,3,18,15.4,16
19,19,04/12/2012,24-022,OKC,@,BRK,24:00:00,34:10:00,9,17,0.529,1,5,0.2,6,8,0.75,0,2,2,9,3,0,5,5,25,18.8,4
20,20,07/12/2012,24-025,OKC,,LAL,24:00:00,40:05:00,12,26,0.462,5,8,0.625,4,6,0.667,0,1,1,8,1,0,2,3,33,22.5,6
21,21,09/12/2012,24-027,OKC,,IND,00:00,34:26:00,7,17,0.412,1,3,0.333,6,7,0.857,2,5,7,6,2,2,2,0,21,20,6
22,22,12/12/2012,24-030,OKC,,NOH,24:00:00,36:35:00,4,14,0.286,1,1,1,5,8,0.625,3,1,4,9,0,0,2,4,14,9.7,-10
23,23,14/12/2012,24-032,OKC,,SAC,24:00:00,31:32:00,4,13,0.308,1,4,0.25,4,4,1,0,2,2,13,3,1,3,1,13,15.5,5
24,24,17/12/2012,24-035,OKC,,SAS,24:00:00,36:44:00,6,18,0.333,1,2,0.5,9,11,0.818,1,5,6,9,3,0,1,2,22,20.7,15
25,25,19/12/2012,24-037,OKC,@,ATL,1,38:56:00,9,21,0.429,1,4,0.25,8,8,1,1,2,3,11,2,1,3,2,27,23.8,4
26,26,20/12/2012,24-038,OKC,@,MIN,1,43:32:00,9,28,0.321,1,6,0.167,11,13,0.846,4,7,11,9,3,0,8,3,30,18.2,-6
27,27,25/12/2012,24-043,OKC,@,MIA,24:00:00,43:21:00,5,19,0.263,1,4,0.25,10,12,0.833,6,5,11,3,2,0,5,4,21,12.1,-9
28,28,27/12/2012,24-045,OKC,,DAL,24:00:00,41:35:00,7,20,0.35,0,3,0,2,3,0.667,1,5,6,10,3,1,2,5,16,13.3,7
29,29,29/12/2012,24-047,OKC,@,HOU,24:00:00,30:23:00,11,22,0.5,2,5,0.4,4,5,0.8,2,6,8,8,3,0,5,0,28,23.4,20
30,30,31/12/2012,24-049,OKC,,PHO,24:00:00,32:57:00,7,16,0.438,1,2,0.5,9,11,0.818,3,4,7,9,1,0,1,2,24,23.6,6
31,31,02/01/2013,24-051,OKC,,BRK,24:00:00,41:45:00,11,19,0.579,1,2,0.5,3,4,0.75,0,2,2,10,3,0,6,4,26,19.7,-12
32,32,04/01/2013,24-053,OKC,,PHI,24:00:00,33:37:00,10,17,0.588,4,4,1,3,4,0.75,0,3,3,5,1,0,6,0,27,18.1,12
33,33,06/01/2013,24-055,OKC,@,TOR,24:00:00,35:05:00,8,17,0.471,1,3,0.333,6,6,1,0,4,4,7,3,0,5,1,23,18,15
34,34,07/01/2013,24-056,OKC,@,WAS,24:00:00,39:32:00,4,17,0.235,1,6,0.167,8,10,0.8,2,2,4,8,3,0,2,1,17,14.1,0
35,35,09/01/2013,24-058,OKC,,MIN,24:00:00,30:08:00,7,14,0.5,3,4,0.75,6,7,0.857,1,7,8,7,1,0,1,1,23,22.9,22
36,36,11/01/2013,24-060,OKC,@,LAL,24:00:00,34:50:00,10,21,0.476,1,5,0.2,6,8,0.75,2,5,7,10,2,1,3,3,27,23.9,28
37,37,13/01/2013,24-062,OKC,@,POR,24:00:00,34:09:00,5,21,0.238,1,5,0.2,7,9,0.778,2,6,8,9,0,0,3,1,18,10.6,9
38,38,14/01/2013,24-063,OKC,@,PHO,1,36:15:00,14,24,0.583,1,3,0.333,7,9,0.778,2,6,8,5,2,0,1,2,36,30.9,14
39,39,16/01/2013,24-065,OKC,,DEN,24:00:00,27:55:00,12,20,0.6,0,1,0,8,9,0.889,2,0,2,4,1,0,0,0,32,27.6,17
40,40,18/01/2013,24-067,OKC,@,DAL,24:00:00,45:01:00,12,26,0.462,0,3,0,7,9,0.778,4,2,6,6,1,0,4,1,31,21,5
41,41,20/01/2013,24-069,OKC,@,DEN,24:00:00,48:06:00,10,26,0.385,1,7,0.143,15,17,0.882,2,6,8,9,0,0,7,4,36,21.9,-1
42,42,22/01/2013,24-071,OKC,@,LAC,24:00:00,37:39:00,9,19,0.474,3,6,0.5,5,5,1,0,4,4,6,1,0,5,3,26,16.5,0
43,43,23/01/2013,24-072,OKC,@,GSW,24:00:00,35:42:00,3,16,0.188,0,5,0,4,6,0.667,0,5,5,4,1,0,6,2,10,-2.3,-12
44,44,25/01/2013,24-074,OKC,@,SAC,24:00:00,31:39:00,7,18,0.389,1,4,0.25,3,4,0.75,0,4,4,14,1,0,4,3,18,14.6,15
45,45,27/01/2013,24-076,OKC,@,LAL,24:00:00,39:26:00,6,22,0.273,1,5,0.2,4,6,0.667,4,5,9,13,2,0,4,5,17,12.6,-11
46,46,31/01/2013,24-080,OKC,,MEM,24:00:00,31:03:00,9,17,0.529,1,4,0.25,2,2,1,1,8,9,6,1,0,5,0,21,16,20
47,47,02/02/2013,24-082,OKC,@,CLE,24:00:00,35:07:00,12,22,0.545,0,2,0,4,5,0.8,0,2,2,5,3,0,1,4,28,21.5,6
48,48,04/02/2013,24-084,OKC,,DAL,24:00:00,29:29:00,8,16,0.5,0,1,0,8,9,0.889,0,3,3,7,3,0,3,2,24,20.6,16
49,49,06/02/2013,24-086,OKC,,GSW,24:00:00,29:37:00,8,19,0.421,0,3,0,6,8,0.75,0,3,3,5,4,1,2,0,22,18.2,4
50,50,08/02/2013,24-088,OKC,,PHO,24:00:00,25:21:00,8,14,0.571,1,2,0.5,0,2,0,2,3,5,6,2,1,3,3,17,14.6,23
51,51,10/02/2013,24-090,OKC,@,PHO,24:00:00,28:00:00,8,15,0.533,2,3,0.667,6,8,0.75,0,1,1,6,4,0,4,0,24,20.4,24
52,52,12/02/2013,24-092,OKC,@,UTA,24:00:00,31:30:00,8,14,0.571,2,3,0.667,4,8,0.5,2,1,3,5,0,0,7,1,22,11.6,-13
53,53,14/02/2013,24-094,OKC,,MIA,24:00:00,43:46:00,7,19,0.368,0,1,0,12,13,0.923,0,5,5,10,1,1,6,5,26,17.3,-8
54,54,20/02/2013,24-100,OKC,@,HOU,24:00:00,41:56:00,8,20,0.4,3,5,0.6,9,10,0.9,3,7,10,8,1,0,7,3,28,19.4,-9
55,55,22/02/2013,24-102,OKC,,MIN,24:00:00,35:26:00,13,22,0.591,2,2,1,9,9,1,0,7,7,9,1,1,5,2,37,31.1,14
56,56,24/02/2013,24-104,OKC,,CHI,24:00:00,31:46:00,10,17,0.588,1,2,0.5,2,2,1,0,1,1,3,1,0,3,2,23,14.7,27
57,57,27/02/2013,24-107,OKC,,NOH,24:00:00,25:57:00,8,17,0.471,1,3,0.333,12,12,1,1,2,3,3,0,0,0,0,29,23.7,32
58,58,01/03/2013,24-109,OKC,@,DEN,1,37:33:00,12,23,0.522,2,4,0.5,12,17,0.706,0,6,6,5,2,0,3,2,38,28.2,6
